State,Sum of Total Sales,Region
New York,64229039,Northeast
California,60174133,West
Florida,59283714,Southeast
Texas,46359746,South
South Carolina,29285637,Southeast
Washington,26330718,West
North Carolina,23956531,Southeast
Louisiana,23750781,South
Hawaii,22282457,West
Virginia,21575040,Southeast
Oregon,21349674,West
Colorado,20996536,West
Nevada,20858509,West
New Mexico,19865016,West
Idaho,19276878,West
Georgia,18997466,Southeast
Michigan,18625433,Midwest
Wyoming,18577517,West
Ohio,18484583,Midwest
Tennessee,18067440,South
Alabama,17633424,South
New Hampshire,16411667,Northeast
Arizona,15782221,West
Montana,15710886,Midwest
Mississippi,15591709,South
Alaska,14753103,West
Vermont,14352923,Northeast
Arkansas,12639347,South
Delaware,12298412,Northeast
Connecticut,11573448,Northeast
Massachusetts,11076810,Northeast
West Virginia,10689160,Northeast
Oklahoma,10620734,South
Pennsylvania,10357519,Northeast
Kentucky,10072848,Southeast
Kansas,9972864,Midwest
New Jersey,9934246,Northeast
Illinois,9797488,Midwest
Utah,9696420,West
Missouri,9683265,Midwest
Maine,9195978,Northeast
Indiana,8836198,Midwest
South Dakota,8495576,Midwest
Rhode Island,8446806,Northeast
Maryland,7758059,Northeast
North Dakota,7735580,Midwest
Wisconsin,7727469,Midwest
Iowa,7424011,Midwest
Minnesota,7378068,Midwest
Nebraska,5929038,Midwest
